2026-03-02 18:35:14,006 | INFO     | soap_generator | generate_soap_note_from_audio_async:4435 | ⚡ STEP 2.3: BATCH-PARALLEL GROUNDING (Brain NER non-streaming → local-only routing/search → parallel judges)
2026-03-02 18:35:14,006 | INFO     | soap_generator | generate_soap_note_from_audio_async:4436 | 📋 STEP 3: SOAP NOTE GENERATION (uses cleaned transcript)
2026-03-02 18:35:14,006 | INFO     | soap_generator | generate_soap_note_from_audio_async:4454 | 📋 STEP 3: SOAP NOTE GENERATION (uses cleaned transcript)
2026-03-02 18:35:14,006 | INFO     | soap_generator | generate_soap_note_from_audio_async:4455 |    SOAP pipeline started (independent of billing)
2026-03-02 18:35:14,007 | INFO     | soap_generator | build_detected_concepts_json_from_manifest:1457 | 📊 Built Brain NER SOAP payload (8 entities)
2026-03-02 18:35:14,007 | INFO     | soap_generator | _run_billing_pipeline_async:4237 |   ⏩ CER skipped for short transcript (610 chars ≤ CER_SKIP_UNDER_CHARS=5000); using Brain NER entities for grounding
2026-03-02 18:35:14,009 | DEBUG    | soap_generator | _dispatch_entity:4171 |    📝 Created grounding task for entity 'shaking the head' (total tasks: 1)
2026-03-02 18:35:14,009 | DEBUG    | soap_generator | _dispatch_entity:4171 |    📝 Created grounding task for entity 'not eating the food properly' (total tasks: 2)
2026-03-02 18:35:14,009 | DEBUG    | soap_generator | _dispatch_entity:4171 |    📝 Created grounding task for entity 'bus inside the left ear' (total tasks: 3)
2026-03-02 18:35:14,009 | DEBUG    | soap_generator | _dispatch_entity:4171 |    📝 Created grounding task for entity 'yeast growth' (total tasks: 4)
2026-03-02 18:35:14,009 | DEBUG    | soap_generator | _dispatch_entity:4171 |    📝 Created grounding task for entity 'ear cleaning' (total tasks: 5)
2026-03-02 18:35:14,009 | DEBUG    | soap_generator | _dispatch_entity:4171 |    📝 Created grounding task for entity 'exotic pump' (total tasks: 6)
2026-03-02 18:35:14,009 | DEBUG    | soap_generator | _dispatch_entity:4171 |    📝 Created grounding task for entity 'Cefpet syrup 3ml' (total tasks: 7)
2026-03-02 18:35:14,009 | DEBUG    | soap_generator | _dispatch_entity:4171 |    📝 Created grounding task for entity 'ear swab for culture and sensitivity' (total tasks: 8)
2026-03-02 18:35:14,009 | DEBUG    | soap_generator | _ground_one:4125 |    🔍 Grounding entity 1: 'shaking the head'
2026-03-02 18:35:14,010 | INFO     | soap_generator | process_single_entity_async:708 | 🔍 [ASYNC] PROCESSING ENTITY 1/8: 'shaking the head'
2026-03-02 18:35:14,010 | INFO     | soap_generator | process_single_entity_async:709 |    Kind: Symptom, KB Kind: Symptom, Source: N/A
2026-03-02 18:35:14,010 | INFO     | soap_generator | process_single_entity_async:829 |    📍 Route Classification: skip_non_billable
2026-03-02 18:35:14,010 | INFO     | soap_generator | process_single_entity_async:830 |    📝 Normalized name: 'shaking the head' (from span_text: 'shaking the head')
2026-03-02 18:35:14,010 | DEBUG    | soap_generator | _ground_one:4153 |    ✅ Grounded entity 'shaking the head' → added to manifest (total: 1)
2026-03-02 18:35:14,010 | DEBUG    | soap_generator | _ground_one:4125 |    🔍 Grounding entity 2: 'not eating the food properly'
2026-03-02 18:35:14,010 | INFO     | soap_generator | process_single_entity_async:708 | 🔍 [ASYNC] PROCESSING ENTITY 2/8: 'not eating the food properly'
2026-03-02 18:35:14,010 | INFO     | soap_generator | process_single_entity_async:709 |    Kind: Symptom, KB Kind: Symptom, Source: N/A
2026-03-02 18:35:14,011 | INFO     | soap_generator | process_single_entity_async:829 |    📍 Route Classification: skip_non_billable
2026-03-02 18:35:14,011 | INFO     | soap_generator | process_single_entity_async:830 |    📝 Normalized name: 'not eating the food properly' (from span_text: 'not eating the food properly')
2026-03-02 18:35:14,011 | DEBUG    | soap_generator | _ground_one:4153 |    ✅ Grounded entity 'not eating the food properly' → added to manifest (total: 2)
2026-03-02 18:35:14,011 | DEBUG    | soap_generator | _ground_one:4125 |    🔍 Grounding entity 3: 'bus inside the left ear'
2026-03-02 18:35:14,011 | INFO     | soap_generator | process_single_entity_async:708 | 🔍 [ASYNC] PROCESSING ENTITY 3/8: 'bus inside the left ear'
2026-03-02 18:35:14,011 | INFO     | soap_generator | process_single_entity_async:709 |    Kind: Diagnosis, KB Kind: Diagnosis, Source: N/A
2026-03-02 18:35:14,011 | DEBUG    | soap_generator | _ground_one:4125 |    🔍 Grounding entity 4: 'yeast growth'
2026-03-02 18:35:14,011 | DEBUG    | soap_generator | get_client_for_model:375 | 🔍 Model 'gpt-4.1-nano' → Provider: openai
2026-03-02 18:35:14,011 | INFO     | soap_generator | process_single_entity_async:708 | 🔍 [ASYNC] PROCESSING ENTITY 4/8: 'yeast growth'
2026-03-02 18:35:14,012 | INFO     | soap_generator | process_single_entity_async:709 |    Kind: Diagnosis, KB Kind: Diagnosis, Source: N/A
2026-03-02 18:35:14,012 | DEBUG    | soap_generator | get_client_for_model:375 | 🔍 Model 'gpt-4.1-nano' → Provider: openai
2026-03-02 18:35:14,012 | DEBUG    | soap_generator | get_client_for_model:375 | 🔍 Model 'gpt-4.1-nano' → Provider: openai
2026-03-02 18:35:14,012 | DEBUG    | soap_generator | _ground_one:4125 |    🔍 Grounding entity 5: 'ear cleaning'
2026-03-02 18:35:14,012 | INFO     | soap_generator | process_single_entity_async:708 | 🔍 [ASYNC] PROCESSING ENTITY 5/8: 'ear cleaning'
2026-03-02 18:35:14,013 | INFO     | soap_generator | process_single_entity_async:709 |    Kind: Procedure, KB Kind: Procedure, Source: N/A
2026-03-02 18:35:14,013 | INFO     | soap_generator | process_transcription:2830 | Reading transcription file...
